Service_Name (filename2),provider_name (filename1),Physical_Address (filename2),formatted_address (filename1),residential_places (filename2),residential_places (filename1)
Stella Maris Aged Care Facility,Stella Maris Aged Care Facility,"6 Coast AVENUE, CRONULLA, NSW, 2230","6 Coast Ave, Cronulla NSW 2230, Australia",75,75
Roseneath Aged Care Centre Pty Ltd,Roseneath Aged Care Centre Pty Ltd,"205 Meade STREET, GLEN INNES, NSW, 2370","205 Meade St, Glen Innes NSW 2370, Australia",75,75
Alcheringa,Alcheringa,"2-14 Boree DRIVE, SWAN HILL, VIC, 3585","2 Boree Dr, Swan Hill VIC 3585, Australia",75,75
Calvary Strzelecki House,Calvary Strzelecki House,"27 Giles STREET, MIRBOO NORTH, VIC, 3871","27 Giles St, Mirboo North VIC 3871, Australia",75,75
Calvary Elouera,Calvary Elouera,"6-11 Kooringa PLACE, TORQUAY, VIC, 3228","6-11 Kooringa Pl, Torquay VIC 3228, Australia",75,75
Estia Health Leopold,Estia Health Leopold,"52-60 Ash ROAD, LEOPOLD, VIC, 3224","52-60 Ash Rd, Leopold VIC 3224, Australia",75,75
Jacaranda Village,Jacaranda Village,"4-8 Calotis STREET, RED CLIFFS, VIC, 3496","Jacaranda Village, 4-8 Calotis St, Red Cliffs VIC 3496, Australia",75,75
Corangamarah,Corangamarah,"2-28 Connor STREET, COLAC, VIC, 3250","2-28 Connor St, Colac VIC 3250, Australia",75,75
Deloraine Private Nursing Home,Deloraine Private Nursing Home,"18 Adeline STREET, GREENSBOROUGH, VIC, 3088","18 Adeline St, Greensborough VIC 3088, Australia",75,75
Bupa Coburg,Bupa Coburg,"24 Sutherland STREET, COBURG, VIC, 3058","Bupa Care Coburg, 24 Sutherland St, Coburg VIC 3058, Australia",75,75
Centennial Lodge,Centennial Lodge,"13 Lewis ROAD, WANTIRNA SOUTH, VIC, 3152","13 Lewis Rd, Wantirna South VIC 3152, Australia",75,75
GraniteHill Aged Care,GraniteHill Aged Care,"36 Kennedy STREET, EUROA, VIC, 3666","36 Kennedy St, Euroa VIC 3666, Australia",75,75
Calvary Lakes Entrance,Calvary Lakes Entrance,"23 Alexandra AVENUE, KALIMNA, VIC, 3909","Lakes Aged Care Fclty, 23 Alexandra Ave, Kalimna VIC 3909, Australia",75,75
AnglicareSA Elizabeth - Dutton Court,AnglicareSA Elizabeth - Dutton Court,"33 Catalina ROAD, ELIZABETH EAST, SA, 5112","33 Catalina Rd, Elizabeth East SA 5112, Australia",75,75
Resthaven Malvern,Resthaven Malvern,"43 Marlborough STREET, MALVERN, SA, 5061","43 Marlborough St, Malvern SA 5061, Australia",75,75
Guildford Village,Guildford Village,"34 Swan STREET,  EAST, GUILDFORD, WA, 6055","34 Swan St E, Guildford WA 6055, Australia",75,75
Bunbury Gardens Care Community,Bunbury Gardens Care Community,"39 Hayes STREET, BUNBURY, WA, 6230","39 Hayes St, Bunbury WA 6230, Australia",75,75
Tyler Village,Tyler Village,"320 Westbury ROAD, PROSPECT VALE, TAS, 7250","320 Westbury Rd, Prospect Vale TAS 7250, Australia",75,75
BlueCross Riverlea,Avondale Heights Care Community,"57 Intervale DRIVE, AVONDALE HEIGHTS, VIC, 3034","Blue Cross Riverlea, 57 Intervale Dr, Avondale Heights VIC 3034, Australia",75,75
Anglican Care Bishop Tyrrell Place,Anglican Care Bishop Tyrrell Place,"60 Princes STREET, CUNDLETOWN, NSW, 2430","60 Princes St, Cundletown NSW 2430, Australia",75,75
Camberwell Gardens,Camberwell Gardens,"15 Cornell STREET, CAMBERWELL, VIC, 3124","15 Cornell St, Camberwell VIC 3124, Australia",75,75
BlueCross Baradine,Mooroolbark Manor Care Community,"16 Baradine ROAD, MOOROOLBARK, VIC, 3138","15-19 Baradine Rd, Mooroolbark VIC 3138, Australia",75,75
Estia Health Nambour,Estia Health Nambour,"27 Glenbrook DRIVE, NAMBOUR, QLD, 4560","Claremont Private, 27 Glenbrook Dr, Nambour QLD 4560, Australia",75,75
Woodford Manor Aged Care,Woodford Manor Aged Care,"131 Archer STREET, WOODFORD, QLD, 4514","12-14 Margaret St, Woodford QLD 4514, Australia",75,75
Grand Cedar,Grand Cedar,"61-63 High Street ROAD, ASHWOOD, VIC, 3147","61-63 High St Rd, Ashwood VIC 3147, Australia",75,75
St Charbel's Care Centre,St Charbel's Care Centre,"2 Waterloo ROAD, PUNCHBOWL, NSW, 2196","2 Waterloo Rd, Punchbowl NSW 2196, Australia",75,75
Arcare Balnarring,Arcare Balnarring,"51 Balnarring ROAD, BALNARRING, VIC, 3926","51 Balnarring Rd, Balnarring VIC 3926, Australia",75,75
Heritage Northcote,Aeralife Northcote,"14-24 Pearl STREET, NORTHCOTE, VIC, 3070","14-24 Pearl St, Northcote VIC 3070, Australia",75,75
Uniting Kamilaroi Lane Cove,Uniting Kamilaroi Lane Cove,"155 Longueville ROAD, LANE COVE, NSW, 2066","Kamilaroi Rtremnt Centre, 155 Longueville Rd, Lane Cove NSW 2066, Australia",74,74
Bracken House Dubbo,Bracken House Dubbo,"315 Macquarie STREET, DUBBO, NSW, 2830","315 Macquarie St, Dubbo NSW 2830, Australia",74,74
Dougherty Villa,Dougherty Villa,"206 Arthur STREET, GRAFTON, NSW, 2460","206 Arthur St, Grafton NSW 2460, Australia",74,74
HammondCare - Erina,HammondCare - Erina,"341 Terrigal DRIVE, ERINA, NSW, 2250","341 Terrigal Dr, Erina NSW 2250, Australia",74,74
Bupa Queens Park,Bupa Queens Park,"142 Carrington ROAD, WAVERLEY, NSW, 2024","142 Carrington Rd, Waverley NSW 2024, Australia",74,74
St Catherine's Hostel Wangaratta Inc,St Catherine's Hostel Wangaratta Inc,"59-69 Ryley STREET, WANGARATTA, VIC, 3677","St Catherines Hostel, 59-69 Ryley St, Wangaratta VIC 3677, Australia",74,74
Villa Maria Catholic Homes John R Hannah Aged Care Residence,Villa Maria Catholic Homes John R Hannah Aged Care,"68 Wattle GROVE, MULGRAVE, VIC, 3170","John Hannah Hostel, 68 Wattle Grove, Mulgrave VIC 3170, Australia",74,74
Cumberland Manor,Cumberland Manor,"25-27 Wiltshire STREET, NORTH SUNSHINE, VIC, 3020","25 Wiltshire St, Sunshine North VIC 3020, Australia",74,74
Whittlesea Lodge,Whittlesea Lodge,"30-32 Fir STREET, WHITTLESEA, VIC, 3757","30-32 Fir St, Whittlesea VIC 3757, Australia",74,74
Blue Care Mackay Homefield Aged Care Facility,Blue Care Mackay Homefield Aged Care Facility,"97 George STREET, MACKAY, QLD, 4740","Homefield Aged Care Fclty, 87-95 George St, West Mackay QLD 4740, Australia",74,74
Ozcare Port Douglas,Ozcare Port Douglas,"Martin Scullett DRIVE, PORT DOUGLAS, QLD, 4877","1 Martin Scullett Dr, Craiglie QLD 4877, Australia",74,74
Jimbelunga Nursing Centre,Jimbelunga Nursing Centre,"259 River Hills ROAD, EAGLEBY, QLD, 4207","259 River Hills Rd, Eagleby QLD 4207, Australia",74,74
Eyre Peninsula Old Folks Home,Eyre Peninsula Old Folks Home,"26-30 Flinders HIGHWAY, PORT LINCOLN, SA, 5606","26 Flinders Hwy, Port Lincoln SA 5606, Australia",74,74
Bolton Clarke Smithfield,Bolton Clarke Smithfield,"1 Warooka DRIVE, SMITHFIELD, SA, 5114","1 Warooka Dr, Smithfield SA 5114, Australia",74,74
Villa Dalmacia Aged Care Facility,Villa Dalmacia Aged Care Facility,"27 Gorham WAY, SPEARWOOD, WA, 6163","Villa Dalmacia, 27 Gorham Way, Spearwood WA 6163, Australia",74,74
Estia Health Willoughby,Estia Health Willoughby,"202 Mowbray ROAD, WILLOUGHBY, NSW, 2068","202 Mowbray Rd, Willoughby NSW 2068, Australia",74,74
Mark Donaldson VC House,Mark Donaldson VC House,"301 Galston ROAD, GALSTON, NSW, 2159","Rowland Village, 301 Galston Rd, Galston NSW 2159, Australia",74,74
Raelene Boyle Retirement Village,Raelene Boyle Retirement Village,"2 Vida STREET, ABERFELDIE, VIC, 3040","2 Vida St, Aberfeldie VIC 3040, Australia",74,74
Southern Cross Care St Michael's Residential Aged Care,Southern Cross Care St Michael's Residential Aged,"62 Centre STREET, CASINO, NSW, 2470","62 Centre St, Casino NSW 2470, Australia",73,73
Juliana Village,Juliana Village,"58 Miranda ROAD, MIRANDA, NSW, 2228","58 Miranda Rd, Miranda NSW 2228, Australia",73,73
Windermere Aged Care Facility,Windermere Aged Care Facility,"5 Henson STREET, SUMMER HILL, NSW, 2130","Windermere Nursing Home, 5 Henson St, Summer Hill NSW 2130, Australia",73,73
Carino Care at Oatley,Carino Care at Oatley,"7-11 Mimosa STREET, OATLEY, NSW, 2223","7 Mimosa St, Oatley NSW 2223, Australia",73,73
Imlay House,Imlay House,"3 Merigan STREET, PAMBULA, NSW, 2549","Imlay District Nrsng Home, 3 Merigan St, Pambula NSW 2549, Australia",73,73
BlueCross Gardenia,Chelsea Parkside Care Community,"87 Argyle AVENUE, CHELSEA, VIC, 3196","Gardenia Hostel, 87 Argyle Ave, Chelsea VIC 3196, Australia",73,73
Calvary Springvale,Calvary Springvale,"340-344 Springvale ROAD, SPRINGVALE, VIC, 3171","340-344 Springvale Rd, Springvale VIC 3171, Australia",73,73
Regis Sunraysia,Regis Sunraysia,"253 10th STREET, MILDURA, VIC, 3500","253 Tenth St, Mildura VIC 3500, Australia",73,73
"mecwacare Gregory Lodge, Flemington","mecwacare Gregory Lodge, Flemington","2-58 Newmarket STREET, FLEMINGTON, VIC, 3031","2 Newmarket St, Flemington VIC 3031, Australia",73,73
Blue Care Sunnybank Hills Carramar Aged Care Facility,Blue Care Sunnybank Hills Carramar Aged Care Facil,"130 Hellawell ROAD, SUNNYBANK HILLS, QLD, 4109","130 Hellawell Rd, Sunnybank Hills QLD 4109, Australia",73,73
Windsor Aged Care Services,Windsor Aged Care Services,"26 Palmer STREET, WINDSOR, QLD, 4030","Amarina Nursing Home, 26 Palmer St, Windsor QLD 4030, Australia",73,73
Southern Cross Care Raceview - St Mary's,Southern Cross Care Raceview - St Mary's,"129 Wildey STREET, RACEVIEW, QLD, 4305","129 Wildey St, Raceview QLD 4305, Australia",73,73
St Nicholas Aged Care,St Nicholas Aged Care,"19 Hampstead ROAD, HIGHGATE HILL, QLD, 4101","19 Hampstead Rd, Highgate Hill QLD 4101, Australia",73,73
Boandik Crouch Street,Boandik Crouch Street,"26 Crouch STREET,  SOUTH, MOUNT GAMBIER, SA, 5290","26 Crouch St S, Mount Gambier SA 5290, Australia",73,73
Baptistcare Morrison Gardens,Baptistcare Morrison Gardens,"1-A North STREET, MIDLAND, WA, 6056","Morrison Lodge, 1A North St, Midland WA 6056, Australia",73,73
Castledare Retirement Village,Castledare Retirement Village,"108 Fern ROAD, WILSON, WA, 6107","108 Fern Rd, Cannington WA 6107, Australia",73,73
Mt St Vincent,Mt St Vincent,"75 South ROAD, ULVERSTONE, TAS, 7315","75 South Rd, West Ulverstone TAS 7315, Australia",73,73
Frank Prendergast House,Frank Prendergast House,"27 Pearson DRIVE, SUCCESS, WA, 6164","Southern Cross Village, 27 Pearson Dr, Success WA 6164, Australia",73,73
Estia Health Salisbury,Estia Health Salisbury,"7 Salisbury HIGHWAY, SALISBURY, SA, 5108","Salisbury Gdns Aged Care, 7 Salisbury Hwy, Salisbury SA 5108, Australia",73,73
Mercy Place Mont Clare,Mercy Place Mont Clare,"9 DEAN STREET, CLAREMONT, WA, 6010","9 Dean St, Claremont WA 6010, Australia",73,73
Annie Green Court,Annie Green Court,"47 Redfern STREET, REDFERN, NSW, 2016","Annie Green Court, 47 Redfern St, Redfern NSW 2016, Australia",73,73
Woodlands Lodge,Woodlands Lodge,"100 Lake ROAD, WALLSEND, NSW, 2287","100 Lake Road, Elermore Vale NSW 2287, Australia",72,72
BaptistCare Morven Gardens Centre,BaptistCare Morven Gardens Centre,"5-19 Morven ROAD, LEURA, NSW, 2780","5-19 Morven Rd, Leura NSW 2780, Australia",72,72
Cheltenham House Aged Care Facility,Cheltenham House Aged Care Facility,"146 Beecroft ROAD, BEECROFT, NSW, 2119","144-146 Beecroft Rd, Beecroft NSW 2119, Australia",72,72
Fairlea Aged Care @ Penshurst,Fairlea Aged Care @ Penshurst,"11 Hawk STREET, PENSHURST, NSW, 2222","9a/11 Hawk St, Penshurst NSW 2222, Australia",72,72
The Palms Nursing Home,The Palms Nursing Home,"454 President AVENUE, KIRRAWEE, NSW, 2232","The Palms Nursing Home, 454 President Ave, Kirrawee NSW 2232, Australia",72,72
Uniting Lillian Wells North Parramatta,Uniting Lillian Wells North Parramatta,"2B Fennell STREET, PARRAMATTA, NSW, 2150","Lilian Wells Nursing Home, 2B Fennell St, Parramatta NSW 2151, Australia",72,72
Estia Health Kogarah,Estia Health Kogarah,"74-76 Rocky Point ROAD, KOGARAH, NSW, 2217","74-76 Rocky Point Rd, Kogarah NSW 2217, Australia",72,72
Southern Cross Care Ozanam Residential Aged Care,Southern Cross Care Ozanam Residential Aged Care,"7 Boake PLACE, GARRAN, ACT, 2605","7 Boake Pl, Garran ACT 2605, Australia",72,72
Uniting AgeWell Kingsville,Uniting AgeWell Kingsville,"319 Geelong ROAD, KINGSVILLE, VIC, 3012","319 Geelong Rd, Kingsville VIC 3012, Australia",72,72
Churches of Christ Lady Small Haven Aged Care Service,Churches of Christ Lady Small Haven Aged Care Serv,"60 Allchurch AVENUE, BENOWA, QLD, 4217","Lady Small Ret Vlge, 60 Allchurch Ave, Benowa QLD 4217, Australia",72,72
Blue Care Arundel Woodlands Lodge Aged Care Facility,Blue Care Arundel Woodlands Lodge Aged Care Facili,"29 Melbourne ROAD, ARUNDEL, QLD, 4214","Woodland Nursing Home, 29 Melbourne Rd, Arundel QLD 4214, Australia",69,72
Lutheran Services - St Andrews,Lutheran Services - St Andrews,"2 Sullivan ROAD, TALLEBUDGERA, QLD, 4228","2 Sullivan Rd, Tallebudgera QLD 4228, Australia",72,72
Tully & District Nursing Home,Tully & District Nursing Home,"13 Bryant STREET, TULLY, QLD, 4854","13 Bryant St, Tully QLD 4854, Australia",72,72
Churches of Christ Clive Burdeu Aged Care Service,Churches of Christ Clive Burdeu Aged Care Service,"46 Middle ROAD, HILLCREST, QLD, 4118","46 Middle Rd, Hillcrest QLD 4118, Australia",72,72
TriCare Annerley Aged Care Residence,TriCare Annerley Aged Care Residence,"421 Annerley ROAD, ANNERLEY, QLD, 4103","421 Annerley Rd, Annerley QLD 4103, Australia",72,72
Nambour Gardens Care Community,Nambour Gardens Care Community,"9 Princess CRESCENT, NAMBOUR, QLD, 4560","Nambour Nursing Home, 9 Princess Cres, Nambour QLD 4560, Australia",72,72
Estia Health Kadina,Estia Health Kadina,"8 Mine STREET, KADINA, SA, 5554","8, 8 Mine St, Kadina SA 5554, Australia",72,72
Boandik Kessal,Boandik Kessal,"101 Lake TERRACE,  EAST, MOUNT GAMBIER, SA, 5290","101 Lake Terrace E, Mount Gambier SA 5290, Australia",72,72
Leighton Nursing Home,Leighton Nursing Home,"40 Florence STREET, WEST PERTH, WA, 6005","Leighton Nursing Home, 40 Florence St, West Perth WA 6005, Australia",72,72
Uniting AgeWell Ningana,Uniting AgeWell Ningana,"3 The Circle SORELL, TAS, 7172","1 The Cir, Sorell TAS 7172, Australia",72,72
Bolton Clarke Riddell Gardens,Bolton Clarke Riddell Gardens,"10 Spavin DRIVE, SUNBURY, VIC, 3429","10 Spavin Dr, Sunbury VIC 3429, Australia",72,72
Parklands Aged Care Facility & Retirement Village,Parklands Aged Care Facility & Retirement Village,"74-98 Emerald Park WAY, URANGAN, QLD, 4655","74 Emerald Park Way, Urangan QLD 4655, Australia",72,72
Arcare Helensvale,Arcare Helensvale,"103 Lindfield ROAD, HELENSVALE, QLD, 4212","Aged Care, 103 Lindfield Rd, Helensvale QLD 4212, Australia",72,72
mecwacare Squires Place,mecwacare Squires Place,"375-379 Mason STREET, ALTONA NORTH, VIC, 3025","Florence Aged Care, 375-385 Mason St, Altona North VIC 3025, Australia",72,72
Romani,Romani,"40 Tumbella DRIVE, MURRAY BRIDGE, SA, 5253","40 Tumbella Dr, Murray Bridge SA 5253, Australia",72,72
RFBI Hawkins Masonic Village - Acacia House,RFBI Hawkins Masonic Village - Acacia House,"20 NORTHVILLE DRIVE, EDGEWORTH, NSW, 2285","3 Northville Dr, Edgeworth NSW 2278, Australia",71,71
Uniting Lindsay Gardens Hamilton,Uniting Lindsay Gardens Hamilton,"137A Lindsay STREET, HAMILTON, NSW, 2303","137A Lindsay St, Hamilton NSW 2303, Australia",71,71
Bowral House Nursing Home,Bowral House Nursing Home,"87-89 Kangaloon ROAD, BOWRAL, NSW, 2576","87-89 Kangaloon Rd, Burradoo NSW 2576, Australia",71,71
Adelene Nursing Home,Adelene Nursing Home,"1 Birch ROAD, WYOMING, NSW, 2250","Adelene Village, 1 Birch Rd, Wyoming NSW 2250, Australia",71,71
Bolton Clarke Charlesbrook,Bolton Clarke Charlesbrook,"1-11 Innisfallen AVENUE, TEMPLESTOWE, VIC, 3106","1-11 Innisfallen Ave, Templestowe VIC 3106, Australia",71,71
Cabanda Aged Care,Cabanda Aged Care,"59 John STREET, ROSEWOOD, QLD, 4340","59 John St, Rosewood QLD 4340, Australia",71,71
Carinity Colthup Manor,Carinity Colthup Manor,"39 Thorn STREET, IPSWICH, QLD, 4305","39 Thorn St, Ipswich QLD 4305, Australia",71,71
Pinaroo Roma Inc,Pinaroo Roma Inc,"50-56 Bowen STREET, ROMA, QLD, 4455","50 Bowen St, Roma QLD 4455, Australia",71,71
Palmwoods Care Centre,Palmwoods Care Centre,"61 Jubilee DRIVE, PALMWOODS, QLD, 4555","Palmwoods Garden Village, 61 Jubilee Dr, Palmwoods QLD 4555, Australia",71,71
Dr E A F McDonald Nursing Home,Dr E A F McDonald Nursing Home,"2-6 Beale STREET, OAKEY, QLD, 4401","2 Beale St, Oakey QLD 4401, Australia",71,71
Estia Health Albany Creek,Estia Health Albany Creek,"55 Faheys ROAD,  WEST, ALBANY CREEK, QLD, 4035","Albany Gardens Nrsng Cntr, 55 Faheys Rd W, Albany Creek QLD 4035, Australia",71,71
Everard Park Care Community,Everard Park Care Community,"34 Norman TERRACE, EVERARD PARK, SA, 5035","34 Norman Terrace, Everard Park SA 5035, Australia",71,71
Mertome Aged Care,Mertome Aged Care,"30 Winifred ROAD, BAYSWATER, WA, 6053","30 Winifred Rd, Bayswater WA 6053, Australia",71,71
The Whiddon Group - Kyogle,Whiddon Kyogle,"1 GEORGE STREET, KYOGLE, NSW, 2474","1 Summerland Way, Kyogle NSW 2474, Australia",70,70
Feros Village Wommin Bay,Feros Village Wommin Bay,"McKissock Drive, McKissock DRIVE, KINGSCLIFF, NSW, 2487","McKissock Dr, Kingscliff NSW 2487, Australia",70,70
Dougherty Apartments,Dougherty Apartments,"1 Victor STREET, CHATSWOOD, NSW, 2067","1 Victor St, Chatswood NSW 2067, Australia",70,70
Murray House,Murray House,"31-37 Murray STREET, WENTWORTH, NSW, 2648","31-37 Murray St, Wentworth NSW 2648, Australia",70,70
Canberra Nursing Home,Canberra Nursing Home,"21 Mary STREET, LIDCOMBE, NSW, 2141","21 Mary St, Lidcombe NSW 2141, Australia",70,70
Uniting Caroona Kalina Goonellabah,Uniting Caroona Kalina Goonellabah,"65-101 Rous ROAD, GOONELLABAH, NSW, 2480","65 Rous Rd, Goonellabah NSW 2480, Australia",70,70
Katoomba Views Care Community,Katoomba Views Care Community,"2 Penault AVENUE, KATOOMBA, NSW, 2780","2 Penault Ave, Katoomba NSW 2780, Australia",70,70
SummitCare Waverley,SummitCare Waverley,"321 Bronte ROAD, WAVERLEY, NSW, 2024","321 Bronte Rd, Waverley NSW 2024, Australia",70,70
Carino Care at Sylvania,Carino Care at Sylvania,"406 Princes HIGHWAY, SYLVANIA, NSW, 2224","Pacific Heights Nrsng Hme, 406 Princes Hwy, Sylvania NSW 2224, Australia",70,70
Bupa Ashfield,Bupa Ashfield,"126-128 Frederick STREET, ASHFIELD, NSW, 2131","126-128 Frederick St, Ashfield NSW 2131, Australia",70,70
Prom Country Aged Care,Prom Country Aged Care,"9 O'Connell ROAD, FOSTER, VIC, 3960","9 Oconnell Rd, Foster VIC 3960, Australia",70,70
Holloway Aged Care Services,Holloway Aged Care Services,"1 Rotary DRIVE, KEILOR EAST, VIC, 3033","1 Rotary Dr, Keilor East VIC 3033, Australia",70,70
Bolton Clarke Avonlea,Bolton Clarke Avonlea,"3-7 Patty STREET, MENTONE, VIC, 3194","3-7 Patty St, Mentone VIC 3194, Australia",70,70
Arcare Hillside,Arcare Hillside,"50 Community HUB, SYDENHAM, VIC, 3037","50 Community Hub, Sydenham VIC 3037, Australia",70,70
Estia Health Victoria Heights,Estia Health Victoria Heights,"41-45 Victoria STREET, IRONBARK, VIC, 3550","41-47 Victoria St, Ironbark VIC 3550, Australia",70,70
Estia Health Epping VIC,Estia Health Epping VIC,"30 Epping ROAD, EPPING, VIC, 3076","Epping Aged Care, 30 Epping Rd, Epping VIC 3076, Australia",70,70
Boronia Residential Aged Care,Boronia Residential Aged Care,"7 Coogee STREET, BORONIA, VIC, 3155","Coogee Priv Nursing Home, 7 Coogee St, Boronia VIC 3155, Australia",70,70
Tongala Memorial,Tongala Memorial,"Purdey Street, Purdey STREET, TONGALA, VIC, 3621","18 Purdey St, Tongala VIC 3621, Australia",70,70
Blue Care Townsville Mt Louisa Aged Care Facility,Blue Care Townsville Mt Louisa Aged Care Facility,"489 Bayswater ROAD, MOUNT LOUISA, QLD, 4814","489 Bayswater Rd, Mount Louisa QLD 4814, Australia",70,70
Blue Care Kirra Aged Care Facility,Blue Care Kirra Aged Care Facility,"24 COOLANGATTA ROAD, COOLANGATTA, QLD, 4225","Kirra Haven Hostel, 5 Appel St, Coolangatta QLD 4225, Australia",70,70
Residency by Dillons Tin Can Bay,Residency by Dillons Tin Can Bay,"26 Coral Trout DRIVE, TIN CAN BAY, QLD, 4580","Cooloola Coast Hostel, 26 Coral Trout Rd, Tin Can Bay QLD 4580, Australia",70,70
Arcare Helensvale St James,Arcare Helensvale St James,"40-44 Helensvale ROAD, HELENSVALE, QLD, 4212","40-44 Helensvale Rd, Helensvale QLD 4212, Australia",70,70
Regis Birkdale,Regis Birkdale,"25 Macgregor DRIVE, BIRKDALE, QLD, 4159","25 MacGregor Dr, Birkdale QLD 4159, Australia",70,70
Parklands Residential Aged Care Facility,Parklands Residential Aged Care Facility,"138 Thuringowa DRIVE, THURINGOWA CENTRAL, QLD, 4817","138 Thuringowa Dr, Kirwan QLD 4817, Australia",70,70
TriCare Labrador Aged Care Residence,TriCare Labrador Aged Care Residence,"71 Brighton STREET, BIGGERA WATERS, QLD, 4216","71 Brighton St, Biggera Waters QLD 4216, Australia",70,70
Eldercare Acacia Court,Eldercare Acacia Court,"81 Tapleys Hill ROAD, HENDON, SA, 5014","Acacia Court, 81 Tapleys Hill Rd, Hendon SA 5014, Australia",70,70
Olive Grove Aged Care,Olive Grove Aged Care,"67 Porter STREET, SALISBURY, SA, 5108","Marron Nursing Home, 67 Porter St, Salisbury SA 5108, Australia",70,70
Carmelite Residential Care,Carmelite Residential Care,"7 Spence AVENUE, MYRTLE BANK, SA, 5064","7 Spence Ave, Myrtle Bank SA 5064, Australia",70,70
Hocart Lodge,Hocart Lodge,"3 Knowles STREET, HARVEY, WA, 6220","3 Knowles St, Harvey WA 6220, Australia",70,70
Bedingfeld Lodge,Bedingfeld Lodge,"4 Bedingfeld ROAD, PINJARRA, WA, 6208","4 Bedingfeld Rd, Pinjarra WA 6208, Australia",70,70
Casson House,Casson House,"2-10 Woodville STREET, NORTH PERTH, WA, 6006","2-10 Woodville St, North Perth WA 6006, Australia",70,70
Wynyard Care Centre,Wynyard Care Centre,"Cnr Quiggin and Moore STREET, WYNYARD, TAS, 7325","2 Quiggin St, Wynyard TAS 7325, Australia",70,70
Alexander Aged Care,Alexander Aged Care,"16 Victor ROAD, BROOKVALE, NSW, 2100","Spitak Apartments, 16 Victor Rd, Brookvale NSW 2100, Australia",70,70
BlueCross Chelsea Manor,Chelsea Manor Care Community,"7-11 Beardsworth AVENUE, CHELSEA, VIC, 3196","7-11 Beardsworth Ave, Chelsea VIC 3196, Australia",70,70
Victoria by the Park,Victoria by the Park,"27 Victoria STREET, ELSTERNWICK, VIC, 3185","Victoria By the Park, 27 Victoria St, Elsternwick VIC 3185, Australia",70,70
Lucy Chieng Aged Care Centre,Lucy Chieng Aged Care Centre,"8-14 Romani AVENUE, HURSTVILLE, NSW, 2220","8-14 Romani Ave, Hurstville NSW 2220, Australia",70,70
Oaklands Park Lodge Residential Care,Oaklands Park Lodge Residential Care,"393 Morphett ROAD, OAKLANDS PARK, SA, 5046","393 Morphett Rd, Oaklands Park SA 5046, Australia",70,70
City of Bayswater Hostel,Juniper Karinya,"21 Embleton AVENUE, EMBLETON, WA, 6062","Juniper Karinya, 21 Embleton Ave, Embleton WA 6062, Australia",70,70
RFBI Dubbo Masonic Village,RFBI Dubbo Masonic Village,"2 Capstan DRIVE, DUBBO, NSW, 2830","2 Capstan Dr, Dubbo NSW 2830, Australia",70,70
Sunnycare Residential,Sunnycare Residential,"15 Radiata STREET, SUNNYBANK HILLS, QLD, 4109","138 Calam Rd, Sunnybank Hills QLD 4109, Australia",70,70
HammondCare Daw Park,HammondCare Daw Park,"Repat Health Precinct, 216 Daws ROAD, DAW PARK, SA, 5041","216 Daws Rd, Daw Park SA 5041, Australia",70,70
Calvary St Francis Retirement Community,Calvary St Francis Retirement Community,"12 Gleeson CRESCENT, ELEEBANA, NSW, 2282","12 Gleeson Cres, Eleebana NSW 2282, Australia",69,69
Killarney Court Aged Care Facility,Killarney Court Aged Care Facility,"37 CORNISH AVENUE, KILLARNEY VALE, NSW, 2261","Killarney Court Hostel, 37 Cornish Ave, Killarney Vale NSW 2261, Australia",69,69
Uniting Edinglassie Lodge Penrith,Uniting Edinglassie Lodge Penrith,"1 Village CRESCENT, PENRITH, NSW, 2750","40 Village Cres, Penrith NSW 2750, Australia",69,69
Bupa Bexley,Bupa Bexley,"741-743 Forest ROAD, BEXLEY, NSW, 2207","741-743 Forest Rd, Bexley NSW 2207, Australia",69,69
Stanmore Place Care Community,Stanmore Place Care Community,"66 Cambridge STREET, STANMORE, NSW, 2048","66 Cambridge St, Stanmore NSW 2048, Australia",69,69
Lionsbrae Hostel,Lionsbrae Hostel,"29 Everard ROAD, RINGWOOD EAST, VIC, 3135","29 Everard Rd, Ringwood VIC 3134, Australia",69,69
Arcare Reservoir,Arcare Reservoir,"2 Gremel ROAD, RESERVOIR, VIC, 3073","Plenty Rd & Gremel Rd, Reservoir VIC 3073, Australia",69,69
HammondCare - The Glens,HammondCare - The Glens,"294 Kooyong ROAD, CAULFIELD, VIC, 3162","294 Kooyong Rd, Caulfield VIC 3162, Australia",69,69
mecwacare Park Hill,mecwacare Park Hill,"160 Mornington-Tyabb ROAD, MORNINGTON, VIC, 3931","160 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",69,69
Kaloma Home for the Aged,Kaloma Home for the Aged,"16 Gough STREET, GOONDIWINDI, QLD, 4390","16 Gough St, Goondiwindi QLD 4390, Australia",69,69
Blue Care Gracemere Aged Care Facility,Blue Care Gracemere Aged Care Facility,"27 Conaghan STREET, GRACEMERE, QLD, 4702","35 Conaghan St, Gracemere QLD 4702, Australia",69,69
Caloundra Place Care Community,Caloundra Place Care Community,"4 LYON STREET, DICKY BEACH, QLD, 4551","Nursing Home Caloundra, 4 Lyon St, Dicky Beach QLD 4551, Australia",69,69
Calvary Trevu House,Calvary Trevu House,"1-13 Deland AVENUE, GAWLER EAST, SA, 5118","1-13 Deland Ave, Gawler East SA 5118, Australia",69,69
